"ontology/deathPlace_label","ontology/birthYear"
"Denver","1836"
"Washington D.C. | United States","1893"
"New York City | United States","1965"
"East Hampton (village) New York | United States | New York","1930"
"Antwerp","1901"
"Guatemala City | Guatemala","1823"
"Nevada | Las Vegas Valley","1925"
"Washington D.C. | United States","1883"
"Nice | France","1873"
"Massachusetts | Boston","1903"
"Cambridgeshire | Trumpington","1912"
"Antibes","1937 | 1930"
"Sèvres","1885"
"Belgium | Brussels","1899"
"Manhattan","1923"
"Belgium | Brussels","1880"
"Kfar Saba | Israel","1924"
"Ottawa","1919"
"Switzerland | Bern","1927"
"New South Wales | Sydney","1978"
"California | Hollywood | United States","1903"
"Los Angeles","1912"
"Parli_Palakkad | Parli","1923"
"Washington D.C. | United States","1892"
"Houston | Texas","1932"
"Buenos Aires | Argentina","1898"
"Chișinău","1949"
"Brooklyn | New York","1862"
"Italy | Castiglione della Pescaia","1926"
"Panama","1844"
"Madrid","1923"
"New York City | United States | New York","1945"
"Colombia | Antioquia Department | Medellín","1867"
"Spain | Cantabria | Torrelavega","1962"
"United Kingdom | Brighton | East Sussex | England","1944"
"Manhattan","1863"
"Afghanistan | Kabul","1969"
"Western Australia","1918"
"Stockholm | Sweden | Hammarby Sjöstad","1953"
"Philippines | Metro Manila | Makati","1958"
"Long Island | New York","1819"
"Kirribilli New South Wales","1859"
"Brooklyn | New York","1851"
"New Hampshire | Peterborough New Hampshire","1893"
"New York City | New York","1934"
"Hyderabad","1934"
"Brazil | São Paulo","1963"
"Russian Empire | Saint Petersburg","1835"
"Russian Empire | Saint Petersburg","1831"
"India | Belgaum","1940"
"California | Los Angeles | United States","1910"
"Washington D.C. | United States","1939 | 1938"
"Aix-les-Bains | France","1831"
"Manhattan | New York City | United States | New York","1913"
"India | Uttar Pradesh","1926"
"Budapest","1844"
"California | Los Angeles | Los Angeles County California","1915"
"Delhi","1942"
"Montenegro | Serbia and Montenegro | Podgorica","1934"
"Russian Empire | Saint Petersburg","1821"
"Egypt","1982"
"Paris | France","1945"
"Sri Lanka | Colombo","1930"
"Amagansett New York","1910"
"Pontiac Michigan","1932"
"Bethesda Maryland","1914"
"Sequim Washington | United States","1915"
"Laurel Maryland | United States","1916"
"Texas | Laredo Texas","1940"
"India | Delhi","1901"
"Spain | Madrid","1931 | 1930"
"California | San Francisco | United States","1866"
"London | England","1772"
"Manhattan | New York City","1906"
"Cardiff | Wales","1952"
"New Jersey | Ridgewood New Jersey | United States","1923"
"San Juan Puerto Rico","1897"
"Oaxaca City | Mexico","1970"
"Alicante | Spain","1936"
"Berlin | East Germany","1940"
"Karnataka | Ullal","1920"
"Lancashire | Aintree","1917"
"Harlem | New York","1937"
"Maryland","1901"
"Hawaii | United States","1945"
"Texas | Smith County Texas | Tyler Texas | United States","1926"
"New York City | New York","1864"
"Havana | Cuba","1913"
"Berlin | Germany","1856"
"Moscow | Russia","1944"
"Sweden | Boo Sweden","1916"
"Cromwell Road","1865"
"Pasadena California","1830"
"Berlin | Germany","1872"
"Louisiana | Shreveport Louisiana | Caddo Parish Louisiana","1935"
"Saffron Walden | Essex","1908"
"Norfolk Virginia","1877"
"New York City | United States | New York","1928"
"Japan | Tokyo","1843"
"Paris","1820"
"Paris | France","1908"
"India | Karnataka | Bangalore","1909"
"Belgrade","1882"
"Cairo | Egypt","1957"
"New Hampshire","1931"
"Paraguay | Asunción","1945"
"Greece | Thessaloniki","1945"
"Puerto Rico | San Juan Puerto Rico","1846"
"Belgium | Brussels","1792 | 0017"
"Netherlands | Zaandam","1923"
"London","1887"
"Texas | Hereford Texas | Deaf Smith County Texas","1929"
"Italy | Pavia","1940"
"Washington D.C. | United States","1939"
"London | England","1886"
"Kansas | Phillipsburg Kansas","1907"
"Kingdom of Romania | Medgidia","1878"
"Los Angeles","1980"
"Tijuana | Mexico","1966"
"Manhattan | New York City | United States | New York","1947"
"Lake Worth Florida | Florida | La_Beach_Florida","1910"
"Paris","1922"
"Minffordd | North Wales","1912"
"Colombia | Cundinamarca Department | Bogotá","1845"
"Louisiana | Baton Rouge Louisiana | East Baton Rouge Parish Louisiana | United States","1949"
"Spain | Madrid","1922"
"Meurthe-et-Moselle","1875"
"British Columbia | Tsawwassen","1927"
"Bergen County New Jersey","1953"
"Italy | Bari","1915"
"London | Notting Hill","1920"
"Virginia | Blacksburg Virginia","1923"
"Texas | Hale County Texas | Plainview Texas","1911"
"Amsterdam | Netherlands","1941"
"London | England","1897"
"New South Wales | Central Coast (New South Wales)","1940"
"Seattle | Washington (state)","1922"
"Chicago | Illinois | United States","1932"
"Jersey","1950"
"Austria-Hungary | Budapest","1828"
"Slovenia | Ljubljana","1914"
"Cairo | Egypt","1923"
"Libya | Benghazi","1983"
"Isle of Man","1898"
"New York","1785"
"Venice | Veneto | Kingdom of Italy","1829"
"Karachi | Pakistan","1964"
"Cairo","1914"
"Queensland | Brisbane","1875"
"Catalonia | Spain | Puig_d'Olena","1910"
